seed,method,noise_type,accuracy_auc,accuracy_degradation_auc,macro_f1_auc,system_reconstruction_mse_increase_auc,standardized_reconstruction_mse_increase_auc,representation_cosine_auc,prediction_js_divergence_auc
4,BBB,pixel_masking,0.8870875,0.029412499999999984,0.8858483888177815,0.00868326880986593,0.009548835639686,0.9909056723117828,0.020844265935011208
4,HHH,gaussian,0.6402624999999998,0.25043750000000004,0.6178582473928238,0.018922517382612032,0.0186148308247936,0.9998653307557106,0.15679418575018644
4,HHH,salt_pepper,0.5332875,0.3574125000000001,0.49791852590570396,0.03509648465112764,0.034728843119679664,0.999761790037155,0.2356336358934641
4,HHH,pixel_masking,0.8563125,0.034387500000000015,0.8541432773753707,0.008485076653470798,0.008117420395539731,0.9999693185091019,0.028152413899078972
4,HHB,gaussian,0.736675,0.18402499999999997,0.7115494178148152,0.018164995903263287,0.019485066133372638,0.9658453091979027,0.11806087708100677
4,HHB,salt_pepper,0.5903375,0.3303625,0.5492123165641837,0.032879914633230284,0.035477675472230324,0.9383949488401413,0.21620176918804648
4,HHB,pixel_masking,0.8893375,0.03136249999999999,0.8877163278645358,0.010880498269504432,0.010292724159299112,0.9890332296490669,0.021751978551037613
4,HBB,gaussian,0.8343750000000001,0.08342499999999996,0.8324795954349459,0.009735848955171449,0.009399787516739902,0.9758558496832848,0.05822110245935619
4,HBB,salt_pepper,0.7193499999999999,0.19845000000000002,0.7207923603681433,0.028189821100539088,0.027947917550802236,0.9442828968167305,0.12385140173137188
4,HBB,pixel_masking,0.888975,0.028824999999999965,0.8880748336231489,0.01067064758374983,0.010646677505118508,0.9903145506978036,0.02156506711617112
