contrast,left,right,noise_type,severity,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,system_reconstruction_mse_increase,0.005130436155260825,0.0007882680979964115,0.004469627311083736,0.0057146682926100135
HHB_minus_HHH,HHB,HHH,pixel_masking,0.3,standardized_reconstruction_mse_increase,0.004693405600372626,0.0011256708972623034,0.0039107995953851825,0.00565969391258395
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,accuracy,0.024780000000000003,0.015059946879056346,0.013520000000000022,0.03603999999999998
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,macro_f1,0.026291811439558832,0.01610375611807713,0.014416467234629993,0.039352513180237934
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,classification_ce,-0.09452301859855652,0.0375025976472818,-0.12060217261314392,-0.06255532503128051
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,system_reconstruction_mse,-0.006476810367350675,0.001910162171135016,-0.008064643534446251,-0.00490317497175567
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,standardized_reconstruction_mse,-0.007249666154044018,0.001819414081605503,-0.008586694383426593,-0.005633734731090313
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,representation_cosine,-0.026229918003082275,0.0008097985882438739,-0.026702249050140382,-0.025504839420318604
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,prediction_js_divergence,-0.0073820710182189945,0.003985912986650289,-0.010442359745502472,-0.004277817904949188
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,accuracy_absolute_degradation,0.0009799999999999809,0.009130553104823351,-0.005919999999999948,0.00757999999999992
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,accuracy_relative_degradation,-0.001805807735827647,0.010197784777767196,-0.00974045957002725,0.005498538118628746
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,macro_f1_absolute_degradation,-0.00040345967816937114,0.01084924366955763,-0.009108403386061092,0.007505649895696642
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,system_reconstruction_mse_increase,0.007376164555354994,0.0009439582218820881,0.006565295168818261,0.008064332626498475
HHB_minus_HHH,HHB,HHH,pixel_masking,0.4,standardized_reconstruction_mse_increase,0.006870621815700917,0.0014372494672335362,0.005862787940940074,0.008106575977169737
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,accuracy,0.0699,0.03052924827112516,0.04632000000000003,0.09347999999999998
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,macro_f1,0.06313574261834824,0.030485601992734732,0.04037783131758417,0.08606827126430272
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,classification_ce,-0.24266178607940675,0.17292964069956643,-0.3725329160690308,-0.11279065608978271
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,system_reconstruction_mse,-0.014682213713976804,0.001841667423775567,-0.01600050240030094,-0.013066530278653515
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,standardized_reconstruction_mse,-0.013588892882210869,0.00180367811973947,-0.01494017243677256,-0.01209320544690502
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,representation_cosine,-0.03600564002990723,0.0033940835861250625,-0.03854688405990601,-0.033385491371154784
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,prediction_js_divergence,-0.02935508042573929,0.02366792957848569,-0.04793999344110489,-0.010770167410373687
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,accuracy_absolute_degradation,-0.044140000000000026,0.03534951201926268,-0.07141999999999997,-0.016860000000000076
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,accuracy_relative_degradation,-0.054766891324940926,0.038023275071746715,-0.08433955844092549,-0.025194224208956374
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,macro_f1_absolute_degradation,-0.03724739085695879,0.034794942358509155,-0.06512991916701127,-0.010811908546421667
HHB_minus_HHH,HHB,HHH,salt_pepper,0.1,system_reconstruction_mse_increase,-0.0008292387912711325,0.0013853980599144906,-0.0018780913266357112,0.00021961374409344632
