sweep,method,metric,baseline_case,baseline_value,minimum,maximum,sensitivity,layer,noise_type,rule
architecture,HBB,between_within_scatter_ratio,balanced,0.11942287554109395,0.11942287554109395,0.12460246106278258,0.04337180375348563,h2,,
architecture,HBB,silhouette_score,balanced,-0.018165186745625457,-0.01995661485508572,-0.014118632168559835,0.32138302611231917,h2,,
architecture,HBB,effective_rank,balanced,19.449515534707405,14.839699244568711,19.449515534707405,0.23701445323469886,z,,
architecture,HBB,stable_rank,balanced,6.834292415616733,5.430264844573179,6.834292415616733,0.20543861539126837,z,,
architecture,HBB,winner_coverage_ratio,balanced,0.859375,0.55625,0.859375,0.3527272727268623,z,,
architecture,HBB,winner_entropy,balanced,0.8872519699420677,0.7442510001988276,0.8872519699420677,0.16117289629958895,z,,
architecture,HBB,max_winner_share,balanced,0.07105714285714286,0.06962857142857143,0.09553674369532406,0.3646103857352555,z,,
architecture,HBB,linear_probe_cv_accuracy,balanced,0.8633999999999998,0.8512000000000001,0.8739000000000001,0.026291406068999035,z,,
architecture,HBB,knn_cv_accuracy,balanced,0.9232999999999999,0.9048999999999999,0.9268000000000001,0.023719267843578928,z,,
architecture,HBB,between_within_scatter_ratio,balanced,0.1091692078256417,0.09533311717986673,0.11027633046508793,0.13688121021223035,z,,
architecture,HBB,silhouette_score,balanced,-0.02840319284014838,-0.02840319284014838,0.006950451470056203,1.2447066957552364,z,,
architecture,HHB,effective_rank,balanced,1.3607151779211093,1.3607151779211093,1.4856594820161466,0.09182252547945742,h1,,
architecture,HHB,stable_rank,balanced,1.1726882926573663,1.1726882926573663,1.2336205893137573,0.05195949941502665,h1,,
architecture,HHB,winner_coverage_ratio,balanced,0.9,0.88125,0.95,0.07638888888880399,h1,,
architecture,HHB,winner_entropy,balanced,0.6196834921396143,0.6196834921396143,0.7342161103982943,0.18482438165819504,h1,,
architecture,HHB,max_winner_share,balanced,0.34213377109503873,0.10769889607917778,0.6168575984944121,1.4881860413373542,h1,,
architecture,HHB,linear_probe_cv_accuracy,balanced,0.8919,0.8743000000000001,0.9,0.028814889561577677,h1,,
architecture,HHB,knn_cv_accuracy,balanced,0.807,0.7677,0.8183,0.06270136307303256,h1,,
architecture,HHB,between_within_scatter_ratio,balanced,0.1087670037049759,0.1071840404958142,0.10917918870428105,0.018343322335698627,h1,,
architecture,HHB,silhouette_score,balanced,-0.032309748389203544,-0.039055324927503535,-0.032309748389203544,0.20877836796603713,h1,,
architecture,HHB,effective_rank,balanced,1.0451430234971932,1.0141958288365602,2.0416892075820003,0.9831126990699529,h2,,
architecture,HHB,stable_rank,balanced,1.0223699472966077,1.0070782175859854,1.4259465561502638,0.4097032973939203,h2,,
architecture,HHB,winner_coverage_ratio,balanced,0.34375,0.10714285714285714,0.9454545454545455,2.43872491144509,h2,,
architecture,HHB,winner_entropy,balanced,0.4228846285137669,0.32969533691986563,0.7344084698932606,0.9570296617183913,h2,,
architecture,HHB,max_winner_share,balanced,0.24969882335334942,0.18121936785264853,0.3333333333333333,0.6091897568328496,h2,,
architecture,HHB,linear_probe_cv_accuracy,balanced,0.9000999999999999,0.885,0.9000999999999999,0.016775913787338205,h2,,
architecture,HHB,knn_cv_accuracy,balanced,0.8524,0.8208,0.8524,0.03707179727822971,h2,,
architecture,HHB,between_within_scatter_ratio,balanced,0.11064869100343344,0.10847987868939231,0.11064869100343344,0.01960088541810434,h2,,
architecture,HHB,silhouette_score,balanced,-0.040718942986231764,-0.04867645043445461,-0.040718942986231764,0.19542519683573512,h2,,
architecture,HHB,effective_rank,balanced,11.541122599872722,9.956353319850072,11.541122599872722,0.13731500261854857,z,,
architecture,HHB,stable_rank,balanced,4.198815970361601,3.740394906994753,4.2261900855307815,0.11569813537078559,z,,
architecture,HHB,winner_coverage_ratio,balanced,0.76875,0.5,0.76875,0.3495934959345046,z,,
architecture,HHB,winner_entropy,balanced,0.8521405378856649,0.6394867005155827,0.8521405378856649,0.249552541999082,z,,
architecture,HHB,max_winner_share,balanced,0.07287142857142856,0.06472857142857143,0.2658285714285714,2.7596549695759314,z,,
architecture,HHB,linear_probe_cv_accuracy,balanced,0.8778,0.7539,0.8854,0.1498063340166896,z,,
architecture,HHB,knn_cv_accuracy,balanced,0.9183,0.7843000000000001,0.9183,0.14592181204383534,z,,
architecture,HHB,between_within_scatter_ratio,balanced,0.1094812449793292,0.08647037255400382,0.1099151231965992,0.2141439901127153,z,,
architecture,HHB,silhouette_score,balanced,-0.026370457594369602,-0.026370457594369602,-0.01016492007194584,0.6145338003262143,z,,
architecture,HHH,effective_rank,balanced,1.3607151779211093,1.3607151779211093,1.4856594820161466,0.09182252547945742,h1,,
architecture,HHH,stable_rank,balanced,1.1726882926573663,1.1726882926573663,1.2336205893137573,0.05195949941502665,h1,,
architecture,HHH,winner_coverage_ratio,balanced,0.9,0.88125,0.95,0.07638888888880399,h1,,
architecture,HHH,winner_entropy,balanced,0.6196834921396143,0.6196834921396143,0.7342161103982943,0.18482438165819504,h1,,
architecture,HHH,max_winner_share,balanced,0.34213377109503873,0.10769889607917778,0.6168575984944121,1.4881860413373542,h1,,
architecture,HHH,linear_probe_cv_accuracy,balanced,0.8919,0.8743000000000001,0.9,0.028814889561577677,h1,,
architecture,HHH,knn_cv_accuracy,balanced,0.807,0.7677,0.8183,0.06270136307303256,h1,,
architecture,HHH,between_within_scatter_ratio,balanced,0.1087670037049759,0.1071840404958142,0.10917918870428105,0.018343322335698627,h1,,
architecture,HHH,silhouette_score,balanced,-0.032309748389203544,-0.039055324927503535,-0.032309748389203544,0.20877836796603713,h1,,
architecture,HHH,effective_rank,balanced,1.0451430234971932,1.0141958288365602,2.0416892075820003,0.9831126990699529,h2,,
architecture,HHH,stable_rank,balanced,1.0223699472966077,1.0070782175859854,1.4259465561502638,0.4097032973939203,h2,,
architecture,HHH,winner_coverage_ratio,balanced,0.34375,0.10714285714285714,0.9454545454545455,2.43872491144509,h2,,
architecture,HHH,winner_entropy,balanced,0.4228846285137669,0.32969533691986563,0.7344084698932606,0.9570296617183913,h2,,
architecture,HHH,max_winner_share,balanced,0.24969882335334942,0.18121936785264853,0.3333333333333333,0.6091897568328496,h2,,
architecture,HHH,linear_probe_cv_accuracy,balanced,0.9000999999999999,0.885,0.9000999999999999,0.016775913787338205,h2,,
architecture,HHH,knn_cv_accuracy,balanced,0.8524,0.8208,0.8524,0.03707179727822971,h2,,
architecture,HHH,between_within_scatter_ratio,balanced,0.11064869100343344,0.10847987868939231,0.11064869100343344,0.01960088541810434,h2,,
architecture,HHH,silhouette_score,balanced,-0.040718942986231764,-0.04867645043445461,-0.040718942986231764,0.19542519683573512,h2,,
architecture,HHH,effective_rank,balanced,1.0156637284425485,1.0156637284425485,1.0361015627795194,0.020122638787436854,z,,
architecture,HHH,stable_rank,balanced,1.0078044760494689,1.0078044760494689,1.0178510605964397,0.00996878341555184,z,,
architecture,HHH,winner_coverage_ratio,balanced,0.109375,0.109375,0.109375,0.0,z,,
architecture,HHH,winner_entropy,balanced,0.46789248700960073,0.46789248700960073,0.46789248700960073,0.0,z,,
architecture,HHH,max_winner_share,balanced,0.14285714285714285,0.14285714285714285,0.14285714285714285,0.0,z,,
architecture,HHH,linear_probe_cv_accuracy,balanced,0.8459999999999999,0.7667,0.8515,0.10023640661926686,z,,
architecture,HHH,knn_cv_accuracy,balanced,0.8242,0.7622,0.8242,0.07522446008241304,z,,
architecture,HHH,between_within_scatter_ratio,balanced,0.10483942096942958,0.08878643154683569,0.10483942096942958,0.15311978332197876,z,,
architecture,HHH,silhouette_score,balanced,-0.04264248287751565,-0.05060613815638924,-0.04264248287751565,0.18675402418666087,z,,
dimension,BBB,effective_rank,L64,1.882369806551793,1.7919024856687877,2.284233689026454,0.26154860837854094,h1,,
dimension,BBB,stable_rank,L64,1.4005715885134244,1.3620831796503547,1.5663266882752356,0.14582868187517664,h1,,
dimension,BBB,winner_coverage_ratio,L64,0.9875,0.9875,1.0,0.012658227848088403,h1,,
dimension,BBB,winner_entropy,L64,0.7702586229804895,0.766438541157192,0.8148533615331205,0.06285527864462734,h1,,
dimension,BBB,max_winner_share,L64,0.2736962314427103,0.244635039969547,0.2736962314427103,0.10618045897040491,h1,,
dimension,BBB,linear_probe_cv_accuracy,L64,0.9004,0.9,0.9007,0.0007774322523313478,h1,,
