sweep,case,contrast,metric,mean_paired_difference,sd_paired_difference,ci_low,ci_high
architecture,balanced,HBB_minus_HHB,macro_f1,-0.003467427997961314,0.003012848217314636,-0.005469984656953275,-0.0008912331091363468
architecture,balanced,HBB_minus_HHB,classification_ce,0.00586390495300293,0.008511270144406913,0.0004798233509063721,0.01323704719543457
architecture,balanced,HBB_minus_HHB,system_reconstruction_mse,-0.0013770486778629067,0.00035498925704201105,-0.001633390210404688,-0.0010839008572636815
architecture,balanced,HBB_minus_HHB,standardized_reconstruction_mse,-0.00125641448702131,0.0003432415343193984,-0.0015096106889296548,-0.0009692545610544632
architecture,balanced,HBB_minus_HHB,system_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,balanced,HBB_minus_HHB,system_training_wall_time_sec,-143.38524533999316,41.121495913603795,-174.82897955998777,-110.53263965999341
architecture,balanced,HBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,balanced,HBB_minus_HHB,standardized_decoder_wall_time_sec,-11.102397240000027,30.616781992801624,-37.43573910000432,10.07086732001153
architecture,balanced,HBB_minus_HHB,total_training_samples_seen,-500000.0,0.0,-500000.0,-500000.0
architecture,balanced,HBB_minus_HHB,total_training_wall_time_sec,-154.48764257999318,48.99519429836023,-187.28945288000432,-111.7710121399883
architecture,balanced,BBB_minus_HHB,accuracy,-0.004019999999999979,0.004655856526999108,-0.008160000000000011,-0.001059999999999972
architecture,balanced,BBB_minus_HHB,macro_f1,-0.004126338691049813,0.00476261075816972,-0.008376566542927821,-0.0010702655483455948
architecture,balanced,BBB_minus_HHB,classification_ce,0.00531238317489624,0.0048768481878906905,0.0014801025390625,0.009219753742218017
architecture,balanced,BBB_minus_HHB,system_reconstruction_mse,-0.001445945775995449,0.0003137721515043761,-0.0016714772209829212,-0.001160822482595638
architecture,balanced,BBB_minus_HHB,standardized_reconstruction_mse,-0.0013341779565811157,0.00024192852402812664,-0.0015044108326094491,-0.00113201966310034
architecture,balanced,BBB_minus_HHB,system_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
architecture,balanced,BBB_minus_HHB,system_training_wall_time_sec,-266.27820475999505,69.74384160387959,-308.374826100007,-206.0669454199946
architecture,balanced,BBB_minus_HHB,standardized_decoder_samples_seen,0.0,0.0,0.0,0.0
architecture,balanced,BBB_minus_HHB,standardized_decoder_wall_time_sec,-9.37541168000116,47.80544908523064,-51.876577919981536,20.354112979979256
architecture,balanced,BBB_minus_HHB,total_training_samples_seen,-1000000.0,0.0,-1000000.0,-1000000.0
