sweep,case,method,noise_type,accuracy_mean,accuracy_sd,accuracy_ci_low,accuracy_ci_high,accuracy_absolute_degradation_mean,accuracy_absolute_degradation_sd,accuracy_absolute_degradation_ci_low,accuracy_absolute_degradation_ci_high,system_reconstruction_mse_increase_mean,system_reconstruction_mse_increase_sd,system_reconstruction_mse_increase_ci_low,system_reconstruction_mse_increase_ci_high,standardized_reconstruction_mse_increase_mean,standardized_reconstruction_mse_increase_sd,standardized_reconstruction_mse_increase_ci_low,standardized_reconstruction_mse_increase_ci_high,representation_cosine_mean,representation_cosine_sd,representation_cosine_ci_low,representation_cosine_ci_high,prediction_js_divergence_mean,prediction_js_divergence_sd,prediction_js_divergence_ci_low,prediction_js_divergence_ci_high
architecture,late_heavy,HBB,salt_pepper,0.26988,0.03236969261516086,0.24638,0.29772,0.62708,0.05646996546837978,0.5773399999999999,0.66744,0.07122664883594124,0.019167223800883596,0.05440738881013831,0.08423510842498468,0.07172323952509432,0.01914493673858328,0.055487735413142614,0.08451379003145257,0.8717944741249084,0.025045143011609972,0.8535851001739502,0.8916732668876648,0.41449480652809145,0.051475693868460265,0.37081536650657654,0.45129373073577883
architecture,late_heavy,HHB,gaussian,0.37361999999999995,0.12223300290837986,0.27765999999999996,0.46692,0.42139999999999994,0.18216836992189395,0.26794,0.5456,0.05295317936897278,0.031466183282119004,0.02621531196477462,0.07468837498567542,0.05387885192462376,0.031279764902546685,0.026960738466029265,0.07560123177469993,0.9148681998252869,0.056210052543225794,0.8732121706008911,0.9622304320335389,0.2718025267124176,0.12635913391851566,0.16331263780593872,0.36008875370025634
architecture,late_heavy,HHB,pixel_masking,0.66782,0.2401352993626718,0.4553,0.80228,0.1272,0.05255002378686426,0.08804000000000001,0.16636,0.021614700809595534,0.010727882550982785,0.012060296084734856,0.028446543942665565,0.02199466007991713,0.01078413987964177,0.012267974185943603,0.028792853487948983,0.9694585800170898,0.027680149207821372,0.9474376559257507,0.9906614661216736,0.08387591540813447,0.03431695615244633,0.05828248709440231,0.11023289561271668
architecture,late_heavy,HHB,salt_pepper,0.22444000000000003,0.06811441110367175,0.17176,0.27726000000000006,0.57058,0.23273694807657846,0.36292,0.70922,0.08279549684582924,0.04552353690160694,0.04359080460451087,0.11544346985816956,0.08336488277571542,0.04489217908046344,0.044371071684701106,0.11435197791858595,0.878809905052185,0.07725168951630576,0.8222034335136413,0.9451442003250122,0.4037782818078995,0.14868608446877413,0.2723174899816513,0.4995535731315613
architecture,late_heavy,HHH,gaussian,0.3062,0.08087839637381541,0.24500000000000002,0.37035999999999997,0.53136,0.04261405871305851,0.4981,0.56646,0.05004144700381219,0.011057893546259209,0.04260673821780146,0.060104347859985974,0.051026550290243965,0.012842408195031399,0.04303373427060185,0.06284435690510029,0.9991104483604432,0.0007194512389885584,0.998499870300293,0.9996148347854614,0.36692250370979307,0.04293488835925973,0.3329667866230011,0.40106655955314635
architecture,late_heavy,HHH,pixel_masking,0.65728,0.12514857969629542,0.56194,0.7526200000000001,0.18028,0.0691268182401013,0.12718,0.23338,0.021239445441499045,0.0013177851363886759,0.020253167921572314,0.022413195900041226,0.02126212224726774,0.002244071114315056,0.019746452163384883,0.023275281277481387,0.9994501352310181,0.0005594987574116184,0.9989798307418823,0.999845027923584,0.13467516601085663,0.05156028994701725,0.09502642750740051,0.17432390451431273
architecture,late_heavy,HHH,salt_pepper,0.20874,0.07276202993320073,0.15332000000000004,0.2669,0.62882,0.03325683388418085,0.60278,0.65432,0.07978486989430018,0.013796537772752386,0.0690327381764626,0.09115063776794745,0.08037161094548753,0.016331798850684653,0.06900433140345982,0.09430014950538168,0.9986352801322937,0.0010663359369060103,0.9977520823478698,0.9993982195854187,0.46699969172477723,0.05007446317907878,0.4233351409435272,0.5032249212265014
dimension,L128,BBB,gaussian,0.33327999999999997,0.06379511736802435,0.28174,0.38173999999999997,0.5912999999999999,0.06682087997026076,0.54096,0.64594,0.027522426197090926,0.0019269645783656002,0.026198242428983963,0.02917098349488511,0.028543457717360284,0.002747692358222698,0.02660271642548697,0.03099271704284512,0.9008347392082214,0.012059622764072624,0.8916476845741272,0.9098539710044861,0.3912081241607666,0.05059617345672632,0.35237640142440796,0.4311380684375763
dimension,L128,BBB,pixel_masking,0.8411199999999999,0.008870569316565886,0.83384,0.8469999999999999,0.08346,0.008198963349107021,0.07765999999999999,0.08993999999999999,0.028432431832722253,0.0017406466192519834,0.027002665219939485,0.029741657014720296,0.0318843957996855,0.0009702052467659015,0.03115021393931642,0.032654270042594594,0.9585764169692993,0.0027861585512554163,0.9565526604652405,0.9609314918518066,0.06087147817015648,0.004537807040783037,0.05719522535800934,0.06415152624249458
dimension,L128,BBB,salt_pepper,0.21738,0.039420514963658206,0.18724,0.24752000000000002,0.7072,0.04239528275645771,0.67518,0.7392200000000001,0.05694393243653434,0.0028488699039155643,0.054966899777821134,0.059276914762088226,0.05862902918236597,0.0038035968588554722,0.05597841785839626,0.06199379585285576,0.8530260443687439,0.01357849372952098,0.8418822765350342,0.8632067441940308,0.4915375292301178,0.03314714520943007,0.46615474820137026,0.5167084455490112
dimension,L128,HBB,gaussian,0.32582,0.08927553976314005,0.2599,0.3996,0.60046,0.08947811464263199,0.52396,0.66564,0.025869799618331753,0.0012017324972618997,0.024922308198237906,0.0268172910384256,0.025975171367489565,0.0012223636586075528,0.02510207859185277,0.026969960637822442,0.9090594053268433,0.004732861509485169,0.905040156841278,0.9125413060188293,0.39824482798576355,0.07484169154146297,0.3426310896873474,0.4566422402858734
dimension,L128,HBB,pixel_masking,0.84182,0.01484425814919698,0.82996,0.85368,0.08446000000000001,0.013795397783318895,0.07384000000000002,0.09494,0.029576904598644798,0.002815889452631796,0.027446583666606822,0.03183661140826284,0.03196907828700786,0.0014923511855413508,0.03094316403680918,0.03326639655473281,0.9590451836585998,0.0027408286113318786,0.9570890069007874,0.9613760352134705,0.06053750738501549,0.007948743736146962,0.05434743762016296,0.06672757714986802
dimension,L128,HBB,salt_pepper,0.20092000000000004,0.036453079430961655,0.1706,0.22692,0.72536,0.037040693837993896,0.6988399999999999,0.75586,0.05421347209511971,0.0021621258316188506,0.05237180877403337,0.05562590842850355,0.05518280491926233,0.0017892932646746684,0.05382644787253166,0.05661425498777506,0.863033390045166,0.0075713680271038706,0.8566504955291748,0.8682214856147766,0.5050480306148529,0.036210883741421264,0.47770164608955384,0.5341263830661773
dimension,L128,HHB,gaussian,0.19749999999999998,0.039798052716181975,0.16629999999999998,0.2273,0.7366999999999999,0.04039201653792495,0.7049,0.7679600000000001,0.047470020277451494,0.0035136909123571784,0.044742140463323005,0.05019790009157998,0.05039471613407135,0.0019171886409390937,0.04880653826995771,0.05184809662653476,0.8708785533905029,0.012442977450237069,0.8600916504859925,0.8789730906486511,0.5138678133487702,0.035050832740287974,0.48670422434806826,0.5423633575439453
dimension,L128,HHB,pixel_masking,0.8375199999999999,0.010664755037036696,0.8304199999999999,0.8463,0.09667999999999999,0.010469813751925105,0.08811999999999993,0.10438,0.02879246623097633,0.0003061568250104778,0.02855826036764651,0.029027770901894085,0.030079045054863907,0.0009754039682385869,0.029399973214791743,0.03089344547602595,0.9625824451446533,0.0036451072703195084,0.9595905303955078,0.9652598857879638,0.07025745213031769,0.005969154146250346,0.0659758672118187,0.07516884952783584
dimension,L128,HHB,salt_pepper,0.15678,0.02783751066456913,0.13419999999999999,0.17776000000000003,0.77742,0.028421857785866204,0.7546199999999998,0.80012,0.07087195618960322,0.003684201507949549,0.06813954231651462,0.07382976388269541,0.07539192733813306,0.002004520960098033,0.07380257807167209,0.07698127660459402,0.8315295577049255,0.012211077051277185,0.8210818290710449,0.8402311325073242,0.5514759659767151,0.025387742373709374,0.5325334548950196,0.5733018040657043
dimension,L128,HHH,gaussian,0.36688,0.0699192891840299,0.30446,0.41004000000000007,0.56212,0.06790719402243035,0.52112,0.62256,0.06215411437910431,0.012675834826125531,0.052363355535001176,0.07198911010158307,0.06323822714980767,0.007343815480571454,0.057620875925336566,0.06885557837427878,0.9996451139450073,3.9634287706512735e-05,0.999615204334259,0.9996756434440612,0.3832890748977661,0.04593922023056394,0.35720027089118955,0.42476882338523864
dimension,L128,HHH,pixel_masking,0.84202,0.008638113219910926,0.8352999999999999,0.8487399999999999,0.08698000000000002,0.009188960768226194,0.0809,0.09526000000000001,0.023195372602501693,0.001557177290573307,0.021934696974073138,0.02434988847810395,0.022706359745726296,0.0013981474566618468,0.021523407527378628,0.02378026220049177,0.9999351978302002,6.173096262132151e-06,0.999929678440094,0.9999389052391052,0.06781966835260392,0.0043020393356188544,0.06450908035039901,0.07113025635480881
dimension,L128,HHH,salt_pepper,0.26058000000000003,0.0451275636390887,0.21974,0.2855,0.66842,0.04355142936804717,0.6446999999999999,0.7077399999999999,0.09635625071545037,0.014266014837409463,0.08557272205080305,0.10805650359679242,0.09781356427718182,0.007706863586470648,0.09197139493903336,0.10365573361533027,0.9994628310203553,5.677223360760759e-05,0.9994183540344238,0.9995073080062866,0.46851842403411864,0.03441024035951721,0.45195295810699465,0.49941262006759646
dimension,L16,BBB,gaussian,0.284,0.09393063930369047,0.20528,0.35300000000000004,0.5964400000000001,0.04110867305082957,0.5717800000000001,0.63246,0.04578885607291241,0.005762772651663239,0.041391854230919664,0.05034171651879136,0.04459625752721514,0.004899203781945164,0.040910725600768104,0.04850773105076381,0.9263700485229492,0.017219852677622997,0.9112841725349426,0.9368855237960816,0.37213521599769595,0.04754420297402888,0.34369632601737976,0.41460145711898805
dimension,L16,BBB,pixel_masking,0.77348,0.14586419025929565,0.6403000000000001,0.8565200000000001,0.10695999999999999,0.05805400933613456,0.07342,0.15965999999999997,0.02011704601385155,0.0037634709997585152,0.016860061332352305,0.02261407165721971,0.02105105410264463,0.0042929832637679565,0.017196744891575404,0.023690303085093598,0.9876515507698059,0.0045508571906073,0.9843180060386658,0.9913865923881531,0.06844354197382926,0.026328611834872197,0.05347555875778198,0.09227865785360337
dimension,L16,BBB,salt_pepper,0.18031999999999998,0.016892809121043188,0.16794000000000003,0.19476,0.7001200000000001,0.08322623985258495,0.6249600000000001,0.74528,0.0717523608018914,0.021267272779565752,0.05342084345739715,0.08571894414765494,0.0705149064206104,0.020736920315630576,0.052475123160615256,0.0844554156503872,0.8716099619865417,0.027713633259041387,0.847623097896576,0.8933476209640503,0.47353569269180296,0.07523632228809063,0.4053415715694427,0.5170428276062011
dimension,L16,HBB,gaussian,0.35658,0.15614810917843353,0.23628,0.47620000000000007,0.51016,0.09747144710118959,0.43811999999999995,0.58888,0.039108114429201396,0.004657537324344722,0.03499528462565675,0.042275963850994504,0.03773913186053841,0.003561406632183889,0.03491743102832716,0.04064410528182984,0.9305413722991943,0.008235988797029092,0.9232307434082031,0.9368745923042298,0.31516988277435304,0.06083999284631547,0.27143036127090453,0.3665554702281952
dimension,L16,HBB,pixel_masking,0.7757,0.17641437016297737,0.61694,0.8603200000000001,0.09103999999999997,0.04725058729793737,0.06527999999999998,0.13341999999999998,0.020063575156659498,0.004494718896653628,0.015956353700015014,0.022759753170402686,0.02063777106927366,0.0046608907401382,0.01639052841595241,0.023024788617698515,0.9886613488197327,0.0033719941640984203,0.9861010551452637,0.9915587425231933,0.058847620338201526,0.015170658888772072,0.04976390227675438,0.07260278835892678
dimension,L16,HBB,salt_pepper,0.21322000000000002,0.0664820802923615,0.16016000000000002,0.26627999999999996,0.65352,0.10321309025506406,0.56732,0.7226600000000001,0.05995228691081611,0.015637789976306837,0.04571514142503543,0.06829419520670053,0.059079798977910256,0.014783928600517325,0.04568897715782632,0.0674604809311458,0.8810771465301513,0.02052440570605814,0.8650424122810364,0.8980979561805725,0.4322234809398651,0.06964259685474161,0.3786007106304169,0.4890127956867218
dimension,L16,HHB,gaussian,0.30508,0.1105102800647976,0.20670000000000002,0.37017999999999995,0.42862,0.240408853830303,0.21028000000000002,0.55062,0.06228756011709875,0.03584649266940128,0.029493883389258867,0.08375678592098001,0.0625479203010092,0.035509542215376874,0.030029358238298064,0.08232725388157125,0.9328058004379273,0.03948983923085922,0.9082382440567016,0.9674307584762574,0.28831138610839846,0.16178884487841239,0.1428157925605774,0.3697182655334473
dimension,L16,HHB,pixel_masking,0.66368,0.30934318644508724,0.3848,0.8211600000000001,0.07002,0.04093704923415951,0.03406,0.09491999999999998,0.017202920948534595,0.009629111454187312,0.008539217007306157,0.021823070836943022,0.017554322465390577,0.009838063618287074,0.008722943967313183,0.02237586451355292,0.9924044132232666,0.0045125704278024216,0.9895988702774048,0.9965146064758301,0.047895117104053496,0.027076321083589143,0.023292305320501326,0.06245369985699654
dimension,L16,HHB,salt_pepper,0.22510000000000002,0.06617163289507068,0.16534,0.26802000000000004,0.5086,0.28559116758051184,0.24926000000000004,0.65408,0.0846170936232197,0.04877706844325186,0.03991083288640392,0.113687554528178,0.0849758942966072,0.04818108438655863,0.040986599290419604,0.1115194301040805,0.9066322088241577,0.05493559213944434,0.8720592141151429,0.9551494359970093,0.3524958312511444,0.19770938452595263,0.17467191219329833,0.45123531222343444
