case,seed,method,layer,representation_layer,rule,alignment,update_snr_linear,winner_entropy,winner_coverage_ratio,effective_rank,linear_probe_cv_accuracy
balanced,4,HHH,enc3,z,hebbian_effective,-0.00011008694887457214,0.9691164848628255,0.4678924870096007,0.109375,1.0185098946747102,0.8535
balanced,4,BBB,enc1,h1,bp_raw,1,13.284956829802534,0.7957981019316515,1,1.808454755672995,0.8965
balanced,4,BBB,enc2,h2,bp_raw,1,4.969071322418628,0.9353232231341687,1,4.256810023427701,0.9225
balanced,4,BBB,enc3,z,bp_raw,1,4.983951808578103,0.8464390024338864,0.65625,15.708266059575005,0.867
balanced,4,HHB,enc3,z,bp_raw,1,8.666487150923249,0.8479969731734538,0.671875,10.325556901814611,0.8825000000000001
balanced,4,HBB,enc2,h2,bp_raw,1,3.6152383714173983,0.9307887340571173,1,3.9671071662694564,0.917
balanced,4,HBB,enc3,z,bp_raw,1,4.814195640574509,0.8272289072958351,0.640625,15.887873608130187,0.8789999999999999
early_heavy,0,HHH,enc1,h1,hebbian_raw,0.19145154830388963,449.44426871751654,0.7344017702035232,0.90625,1.3453445391190069,0.9065
early_heavy,0,HHH,enc1,h1,hebbian_effective,0.19152356291350361,447.1726104100697,0.7344017702035232,0.90625,1.3453445391190069,0.9065
early_heavy,0,HHB,enc1,h1,hebbian_raw,0.19145154830388963,449.44426871751654,0.7344017702035232,0.90625,1.3453445391190069,0.9065
early_heavy,0,HHB,enc1,h1,hebbian_effective,0.19152356291350361,447.1726104100697,0.7344017702035232,0.90625,1.3453445391190069,0.9065
early_heavy,0,HBB,enc1,h1,hebbian_raw,0.19145154830388963,449.44426871751654,0.7344017702035232,0.90625,1.3453445391190069,0.9065
early_heavy,0,HBB,enc1,h1,hebbian_effective,0.19152356291350361,447.1726104100697,0.7344017702035232,0.90625,1.3453445391190069,0.9065
early_heavy,0,HHH,enc2,h2,hebbian_raw,0.03693121032428871,0.032238462879107456,0.32969533691986563,0.10714285714285714,1.016736405469817,0.8955
early_heavy,0,HHH,enc2,h2,hebbian_effective,0.036982043753651016,0.03223898364144293,0.32969533691986563,0.10714285714285714,1.016736405469817,0.8955
early_heavy,0,HHB,enc2,h2,hebbian_raw,0.03693121032428871,0.032238462879107456,0.32969533691986563,0.10714285714285714,1.016736405469817,0.8955
early_heavy,0,HHB,enc2,h2,hebbian_effective,0.036982043753651016,0.03223898364144293,0.32969533691986563,0.10714285714285714,1.016736405469817,0.8955
early_heavy,0,HHH,enc3,z,hebbian_raw,-0.0008340061251812614,9.9020675174365,0.4678924870096007,0.109375,1.01535235109467,0.8390000000000001
early_heavy,0,HHH,enc3,z,hebbian_effective,-0.0002770446935904469,10.190214853140924,0.4678924870096007,0.109375,1.01535235109467,0.8390000000000001
early_heavy,0,BBB,enc1,h1,bp_raw,1,14.982110629427536,0.8670814978427254,1,2.2725618281551605,0.9045
early_heavy,0,BBB,enc2,h2,bp_raw,1,8.332227174614546,0.9237007103260121,1,4.1912274010982795,0.9285
early_heavy,0,BBB,enc3,z,bp_raw,1,4.336928029435534,0.842052926966241,0.65625,15.37101050356832,0.8724999999999999
early_heavy,0,HHB,enc3,z,bp_raw,1,9.75136401158401,0.8260417464452928,0.640625,10.204170356025974,0.8865000000000001
early_heavy,0,HBB,enc2,h2,bp_raw,1,3.324570140107585,0.9422845630963517,1,4.8952464520075605,0.9259999999999999
early_heavy,0,HBB,enc3,z,bp_raw,1,3.2549669503983667,0.8356967393862673,0.671875,13.889252337845413,0.875
early_heavy,1,HHH,enc1,h1,hebbian_raw,0.28729391951380606,469.6469049682443,0.7126906953416623,0.859375,1.3037796544986835,0.8975
early_heavy,1,HHH,enc1,h1,hebbian_effective,0.28721761741162055,467.2837483744958,0.7126906953416623,0.859375,1.3037796544986835,0.8975
early_heavy,1,HHB,enc1,h1,hebbian_raw,0.28729391951380606,469.6469049682443,0.7126906953416623,0.859375,1.3037796544986835,0.8975
early_heavy,1,HHB,enc1,h1,hebbian_effective,0.28721761741162055,467.2837483744958,0.7126906953416623,0.859375,1.3037796544986835,0.8975
early_heavy,1,HBB,enc1,h1,hebbian_raw,0.28729391951380606,469.6469049682443,0.7126906953416623,0.859375,1.3037796544986835,0.8975
early_heavy,1,HBB,enc1,h1,hebbian_effective,0.28721761741162055,467.2837483744958,0.7126906953416623,0.859375,1.3037796544986835,0.8975
early_heavy,1,HHH,enc2,h2,hebbian_raw,0.03203322538885703,0.026244734238799167,0.32969533691986563,0.10714285714285714,1.0146048099900986,0.9039999999999999
early_heavy,1,HHH,enc2,h2,hebbian_effective,0.03202100814894706,0.026245374265017867,0.32969533691986563,0.10714285714285714,1.0146048099900986,0.9039999999999999
early_heavy,1,HHB,enc2,h2,hebbian_raw,0.03203322538885703,0.026244734238799167,0.32969533691986563,0.10714285714285714,1.0146048099900986,0.9039999999999999
early_heavy,1,HHB,enc2,h2,hebbian_effective,0.03202100814894706,0.026245374265017867,0.32969533691986563,0.10714285714285714,1.0146048099900986,0.9039999999999999
early_heavy,1,HHH,enc3,z,hebbian_raw,0.0035400047289277526,13.393928442589754,0.4678924870096007,0.109375,1.0255124117138978,0.8685
early_heavy,1,HHH,enc3,z,hebbian_effective,0.000772017806836863,13.884816633230198,0.4678924870096007,0.109375,1.0255124117138978,0.8685
early_heavy,1,BBB,enc1,h1,bp_raw,1,4.391288105867893,0.8377925256139986,0.984375,2.3419122512583863,0.9094999999999999
early_heavy,1,BBB,enc2,h2,bp_raw,1,4.262954185035082,0.8941584067569528,1,4.202632598487383,0.9199999999999999
early_heavy,1,BBB,enc3,z,bp_raw,1,5.6248532682689545,0.87133920172798,0.796875,16.458395083115306,0.873
early_heavy,1,HHB,enc3,z,bp_raw,1,11.71454140420119,0.8659027298112847,0.84375,11.219450974983433,0.8815
early_heavy,1,HBB,enc2,h2,bp_raw,1,18.663247849747453,0.8930004511005591,1,3.7873815528266555,0.916
early_heavy,1,HBB,enc3,z,bp_raw,1,5.940597946407913,0.8777494124154926,0.78125,15.534598912289745,0.8675
early_heavy,2,HHH,enc1,h1,hebbian_raw,0.34839769094954876,479.72249313522514,0.730661646526044,0.875,1.4470609309593816,0.9
early_heavy,2,HHH,enc1,h1,hebbian_effective,0.34843892383686803,477.7767576287499,0.730661646526044,0.875,1.4470609309593816,0.9
early_heavy,2,HHB,enc1,h1,hebbian_raw,0.34839769094954876,479.72249313522514,0.730661646526044,0.875,1.4470609309593816,0.9
early_heavy,2,HHB,enc1,h1,hebbian_effective,0.34843892383686803,477.7767576287499,0.730661646526044,0.875,1.4470609309593816,0.9
early_heavy,2,HBB,enc1,h1,hebbian_raw,0.34839769094954876,479.72249313522514,0.730661646526044,0.875,1.4470609309593816,0.9
early_heavy,2,HBB,enc1,h1,hebbian_effective,0.34843892383686803,477.7767576287499,0.730661646526044,0.875,1.4470609309593816,0.9
early_heavy,2,HHH,enc2,h2,hebbian_raw,-0.010444950080817828,0.012745458541113653,0.32969533691986563,0.10714285714285714,1.0101806435946228,0.8965
early_heavy,2,HHH,enc2,h2,hebbian_effective,-0.009617939748695285,0.012748297656351408,0.32969533691986563,0.10714285714285714,1.0101806435946228,0.8965
early_heavy,2,HHB,enc2,h2,hebbian_raw,-0.010444950080817828,0.012745458541113653,0.32969533691986563,0.10714285714285714,1.0101806435946228,0.8965
early_heavy,2,HHB,enc2,h2,hebbian_effective,-0.009617939748695285,0.012748297656351408,0.32969533691986563,0.10714285714285714,1.0101806435946228,0.8965
early_heavy,2,HHH,enc3,z,hebbian_raw,0.0009784965862046897,6.617658216347497,0.4678924870096007,0.109375,1.0185221635629387,0.8550000000000001
