sweep,case,seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase
architecture,early_heavy,4,full_hebbian,HHH,gaussian,0.4,0.3258,0.30641542489143747,4.07875394821167,0.07821992204627212,0.07779440269470214,0.9996541738510132,0.3718569576740265,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5751000000000001,0.6383616383616384,0.5930392635386208,0.04965774592185507,0.04429648151786959
architecture,early_heavy,4,full_hebbian,HHH,salt_pepper,0.4,0.2452,0.21242046966463274,5.8364787101745605,0.10000163779745297,0.1008244125366211,0.9994781017303467,0.4514971673488617,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6557000000000001,0.7278277278277279,0.6870342187654255,0.07143946167303591,0.06732649135978855
architecture,early_heavy,4,full_hebbian,HHH,pixel_masking,0.4,0.8271,0.8230672578030351,0.5576872229576111,0.04263192513135015,0.04690498383191167,0.9999365210533142,0.06108429655432701,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.07380000000000009,0.08191808191808202,0.07638743062702313,0.014069749006933096,0.01340706265507912
architecture,early_heavy,4,hybrid_hhb,HHB,gaussian,0.4,0.5134,0.4470082056070687,2.061640739440918,0.06801507282646335,0.08006442702157157,0.9072034358978271,0.26406097412109375,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.40890000000000004,0.44334815136072864,0.4742047406581041,0.06283777589797974,0.07389320144896605
architecture,early_heavy,4,hybrid_hhb,HHB,salt_pepper,0.4,0.3819,0.3046832709431417,3.668682813644409,0.0878473239042321,0.09181422972387197,0.8843798041343689,0.36009159684181213,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5404,0.5859264881275073,0.6165296753220311,0.08267002697574849,0.08564300415126645
architecture,early_heavy,4,hybrid_hhb,HHB,pixel_masking,0.4,0.8414,0.8382857029007482,0.5048998594284058,0.032406082375195565,0.03031387457944909,0.9765476584434509,0.05869169905781746,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.08089999999999997,0.08771549387401059,0.08292724336442459,0.02722878544671195,0.02414264900684357
architecture,early_heavy,4,hybrid_hbb,HBB,gaussian,0.4,0.4144,0.3418403795531487,2.4637351036071777,0.054581962632159794,0.06137579777775978,0.9053728580474854,0.3325437903404236,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5084,0.5509319462505419,0.5797577732480662,0.04997278080473141,0.05558793258958933
architecture,early_heavy,4,hybrid_hbb,HBB,salt_pepper,0.4,0.2937,0.22678371819056792,3.8644163608551025,0.08693846430875816,0.08657474808984873,0.8554092049598694,0.4158024787902832,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6291,0.6817295188556567,0.6948144346106471,0.08232928248132977,0.08078688290167828
architecture,early_heavy,4,hybrid_hbb,HBB,pixel_masking,0.4,0.8559,0.8574494284545405,0.45138978958129883,0.031171786327751316,0.03220539445682448,0.9747337698936462,0.04914422705769539,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.06689999999999996,0.07249674902470737,0.0641487243466744,0.026562604500322926,0.026417529268654025
architecture,late_heavy,0,full_bp,BBB,gaussian,0.4,0.3926,0.3247635114076447,2.1739161014556885,0.06328550600324358,0.0637371685573033,0.9184752106666565,0.32875216007232666,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5305,0.5746939659841837,0.597395324817707,0.05104083703391406,0.05068369010030008
architecture,late_heavy,0,full_bp,BBB,salt_pepper,0.4,0.2471,0.16228486243828003,4.323280334472656,0.08725505691839724,0.08915195687741649,0.8746781945228577,0.4507678151130676,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.676,0.7323150254576969,0.7598739737870717,0.07501038794906772,0.07609847842041327
architecture,late_heavy,0,full_bp,BBB,pixel_masking,0.4,0.854,0.8526909733418888,0.4656371474266052,0.030672403541876347,0.031177874689686056,0.9883754849433899,0.050591617822647095,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.06910000000000005,0.07485646192178534,0.06946786288346285,0.018427734572546824,0.018124396232682832
architecture,late_heavy,0,full_hebbian,HHH,gaussian,0.4,0.42,0.3997136384553534,2.9251699447631836,0.06890587360615633,0.06715713687818878,0.999687135219574,0.3062955439090729,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.47390000000000004,0.5301487862176978,0.49257805509109137,0.04937522082620737,0.04750997568831152
architecture,late_heavy,0,full_hebbian,HHH,salt_pepper,0.4,0.3085,0.27974832386893966,4.440745830535889,0.09426778206338687,0.09092971902964067,0.9995347857475281,0.3955122232437134,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5854,0.6548830965432375,0.6125433696775051,0.07473712928343793,0.07128255783976342
architecture,late_heavy,0,full_hebbian,HHH,pixel_masking,0.4,0.7709,0.7685704088427275,0.7180390357971191,0.04284466242887536,0.04459996126136001,0.9998962879180908,0.09044928103685379,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.123,0.13759928403624566,0.12372128470371724,0.023314009648926402,0.024952800071482754
architecture,late_heavy,0,hybrid_hhb,HHB,gaussian,0.4,0.4107,0.3581960635644489,2.6702864170074463,0.08226601017543247,0.08401808336997518,0.9108526110649109,0.3236313462257385,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4926,0.5453337761541016,0.5439030173355233,0.06548066768840867,0.06723329265944811
architecture,late_heavy,0,hybrid_hhb,HHB,salt_pepper,0.4,0.2772,0.2117502535086182,4.7765326499938965,0.10764829657418387,0.1087032741001674,0.8725298047065735,0.4291834831237793,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6261,0.6931252075722352,0.690348827391354,0.09086295408716007,0.09191848338964034
architecture,late_heavy,0,hybrid_hhb,HHB,pixel_masking,0.4,0.8218,0.8206371882133763,0.5912256836891174,0.03738604696624133,0.03754030231553681,0.9893433451652527,0.06248430162668228,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.08150000000000002,0.09022473153990924,0.08146189268659587,0.020600704479217528,0.02075551160500974
architecture,late_heavy,0,hybrid_hbb,HBB,gaussian,0.4,0.3509,0.3363223283038113,2.5746357440948486,0.0660773362840925,0.06795678749862982,0.9157013893127441,0.36023199558258057,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5701,0.6190010857763301,0.5836033924333521,0.05291659218924387,0.05402949264292814
architecture,late_heavy,0,hybrid_hbb,HBB,salt_pepper,0.4,0.2419,0.18321622106489052,4.472151756286621,0.09061089035345583,0.092648012573865,0.8800849318504333,0.4538083076477051,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6791,0.7373507057546146,0.7367094996722728,0.0774501462586072,0.07872071771816332
architecture,late_heavy,0,hybrid_hbb,HBB,pixel_masking,0.4,0.8421,0.8416521368375618,0.5025036334991455,0.03312681145181461,0.03349806673867362,0.9891693592071533,0.05803288146853447,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.07890000000000008,0.08566775244299683,0.0782735838996016,0.01996606735696598,0.019570771882971943
architecture,late_heavy,1,full_bp,BBB,gaussian,0.4,0.6393,0.6202597071394592,1.1156483888626099,0.029625402006811026,0.02976865880927261,0.9171257615089417,0.18138402700424194,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.272,0.2984747064632942,0.28981160861365296,0.02607726786963794,0.026274452536446707
architecture,late_heavy,1,full_bp,BBB,salt_pepper,0.4,0.4248,0.3993479941831156,2.2023589611053467,0.05109806537238919,0.05181624067656848,0.8742330074310303,0.30727317929267883,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.4865,0.5338527378470317,0.5107233215699966,0.0475499312352161,0.04832203440374258
architecture,late_heavy,1,full_bp,BBB,pixel_masking,0.4,0.8503,0.8483576682486416,0.4844290018081665,0.03193170990068085,0.03308576591647401,0.9687914252281189,0.0526546984910965,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.061000000000000054,0.06693734225831235,0.061713647504470615,0.028383575763507765,0.029591559643648107
architecture,late_heavy,1,full_hebbian,HHH,gaussian,0.4,0.222,0.1867684071692406,5.2119927406311035,0.09388253876043826,0.09867029910963408,0.998900294303894,0.42499473690986633,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5919,0.7272392185772208,0.6227729774715882,0.06838667794830945,0.07324017681588932
architecture,late_heavy,1,full_hebbian,HHH,salt_pepper,0.4,0.1426,0.09041178099240468,9.22611141204834,0.12487597209385463,0.1310129979503398,0.9982884526252747,0.5182467699050903,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6713,0.8247942007617644,0.7191296036484242,0.09938011128172583,0.10558287565659503
architecture,late_heavy,1,full_hebbian,HHH,pixel_masking,0.4,0.5934,0.5835952728016509,1.3712106943130493,0.04655783608884227,0.046217276452512154,0.9992783069610596,0.16441603004932404,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.22049999999999992,0.27091780316992253,0.2259461118391779,0.021061975276713465,0.020787154158767387
architecture,late_heavy,1,hybrid_hhb,HHB,gaussian,0.4,0.3817,0.33413006512284055,3.3148550987243652,0.09359086650926239,0.09191119392550721,0.850936233997345,0.349150687456131,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.5323,0.5823851203501094,0.5784011513854828,0.08639628634258192,0.0848746963462051
architecture,late_heavy,1,hybrid_hhb,HHB,salt_pepper,0.4,0.2044,0.15184460663790406,7.687110900878906,0.14028400888248366,0.1367457605478715,0.7943987250328064,0.4914889633655548,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.7096,0.7763676148796499,0.7606866098704193,0.13308942871580318,0.12970926296856938
architecture,late_heavy,1,hybrid_hhb,HHB,pixel_masking,0.4,0.7336,0.737554338898314,0.8608978390693665,0.03611089565510652,0.03642427675675373,0.9500209093093872,0.11709022521972656,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.1804,0.19737417943107222,0.17497687761000935,0.028916315488426048,0.029387779177451622
architecture,late_heavy,1,hybrid_hbb,HBB,gaussian,0.4,0.461,0.44351992543882607,1.9000073671340942,0.0585534395101119,0.05821159156487912,0.8957574367523193,0.2813415825366974,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.44769999999999993,0.49268185319687463,0.4637885176931286,0.05351382340898319,0.05325290694480039
architecture,late_heavy,1,hybrid_hbb,HBB,salt_pepper,0.4,0.2474,0.1908072062165581,5.628129005432129,0.09573889993161572,0.09622606459637077,0.8490816354751587,0.44943076372146606,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.6613,0.7277429294596677,0.7165012369153966,0.090699283830487,0.09126737997629204
architecture,late_heavy,1,hybrid_hbb,HBB,pixel_masking,0.4,0.7955,0.7970646608960582,0.623511791229248,0.034496294387505975,0.03485256246449996,0.9601020216941833,0.07870625704526901,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.11319999999999997,0.12457356663365245,0.11024378223589648,0.029456678286377262,0.029893877844421234
