sweep,case,method,layer,rule,alignment_mean,alignment_sd,alignment_ci_low,alignment_ci_high,norm_ratio_mean,norm_ratio_sd,norm_ratio_ci_low,norm_ratio_ci_high,alpha_star_mean,alpha_star_sd,alpha_star_ci_low,alpha_star_ci_high,scale_matched_bias_mean,scale_matched_bias_sd,scale_matched_bias_ci_low,scale_matched_bias_ci_high,update_snr_linear_mean,update_snr_linear_sd,update_snr_linear_ci_low,update_snr_linear_ci_high,matched_bp_snr_linear_mean,matched_bp_snr_linear_sd,matched_bp_snr_linear_ci_low,matched_bp_snr_linear_ci_high
architecture,late_heavy,HBB,enc2,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.20111133901099,2.468707908288413,1.5364805390599097,5.364823029957342,3.20111133901099,2.468707908288413,1.5364805390599097,5.364823029957342
architecture,late_heavy,HBB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.309912059898343,0.8271220400446542,1.6905464684478377,2.9292776513488485,2.309912059898343,0.8271220400446542,1.6905464684478377,2.9292776513488485
architecture,late_heavy,HHB,enc1,hebbian_effective,0.7961097731002559,0.24165757424516943,0.5840551769773146,0.9620004443738104,0.017541869932313804,0.019018740132748103,0.0030661295318611622,0.03226949775386444,276.64171631780846,356.31804415788685,35.789105289945915,591.3095816277093,0.49489289736138103,0.30530832840765537,0.2720817583445392,0.7479407763319833,549.0510712878232,144.71656837516298,433.4330421306563,659.2881352085955,9.21560640677404,7.667294472937599,4.0423785407833055,15.629788598988373
architecture,late_heavy,HHB,enc1,hebbian_raw,0.7960968098131682,0.2414983343743623,0.5841351370887278,0.9618693604048982,35.083581652755996,38.037423694312395,6.1321785329393075,64.53892773200278,0.13835586910881506,0.17821536380689254,0.017897956185427853,0.29574336198849405,0.4951379145637166,0.3049818803485776,0.2726046637919812,0.7478307477491148,632.5207915651415,229.42273856105467,460.35426742681904,818.809258538337,9.21560640677404,7.667294472937599,4.0423785407833055,15.629788598988373
architecture,late_heavy,HHB,enc2,hebbian_effective,0.344341433506111,0.3026863363600432,0.11059093399337663,0.5780919330188455,0.03722443463875901,0.023839895520811755,0.018846530614889456,0.05464091768958863,43.430096380406255,79.7333844742852,2.9062099032953226,114.82713153673694,0.8934794761320533,0.11083515597903838,0.8094090101914571,0.9775499420726492,174.85932740780325,133.54002082826278,72.4322626253788,277.6655630556544,0.9874828833423954,0.19392600164550167,0.8461765323346508,1.146962066386227
architecture,late_heavy,HHB,enc2,hebbian_raw,0.3443385146296086,0.3027297970558602,0.11056807640048441,0.5781089528587329,74.44888787759605,47.68005023513484,37.69294523432848,109.28222659266116,0.021733319638814856,0.03990712905374167,0.0014525595690621728,0.05746835981687511,0.8934677432199791,0.11084964202393202,0.8093948756760068,0.9775406107639515,179.64649960194657,133.51362417622977,76.25940504252972,283.03359416136345,0.9874828833423954,0.19392600164550167,0.8461765323346508,1.146962066386227
architecture,late_heavy,HHB,enc3,bp_raw,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.3602490852927187,1.502527288378277,1.1932413376723865,3.527256832913051,2.3602490852927187,1.502527288378277,1.1932413376723865,3.527256832913051
architecture,late_heavy,HHH,enc1,hebbian_effective,0.7961097731002559,0.24165757424516943,0.5840551769773146,0.9620004443738104,0.017541869932313804,0.019018740132748103,0.0030661295318611622,0.03226949775386444,276.64171631780846,356.31804415788685,35.789105289945915,591.3095816277093,0.49489289736138103,0.30530832840765537,0.2720817583445392,0.7479407763319833,549.0510712878232,144.71656837516298,433.4330421306563,659.2881352085955,9.21560640677404,7.667294472937599,4.0423785407833055,15.629788598988373
architecture,late_heavy,HHH,enc1,hebbian_raw,0.7960968098131682,0.2414983343743623,0.5841351370887278,0.9618693604048982,35.083581652755996,38.037423694312395,6.1321785329393075,64.53892773200278,0.13835586910881506,0.17821536380689254,0.017897956185427853,0.29574336198849405,0.4951379145637166,0.3049818803485776,0.2726046637919812,0.7478307477491148,632.5207915651415,229.42273856105467,460.35426742681904,818.809258538337,9.21560640677404,7.667294472937599,4.0423785407833055,15.629788598988373
architecture,late_heavy,HHH,enc2,hebbian_effective,0.344341433506111,0.3026863363600432,0.11059093399337663,0.5780919330188455,0.03722443463875901,0.023839895520811755,0.018846530614889456,0.05464091768958863,43.430096380406255,79.7333844742852,2.9062099032953226,114.82713153673694,0.8934794761320533,0.11083515597903838,0.8094090101914571,0.9775499420726492,174.85932740780325,133.54002082826278,72.4322626253788,277.6655630556544,0.9874828833423954,0.19392600164550167,0.8461765323346508,1.146962066386227
architecture,late_heavy,HHH,enc2,hebbian_raw,0.3443385146296086,0.3027297970558602,0.11056807640048441,0.5781089528587329,74.44888787759605,47.68005023513484,37.69294523432848,109.28222659266116,0.021733319638814856,0.03990712905374167,0.0014525595690621728,0.05746835981687511,0.8934677432199791,0.11084964202393202,0.8093948756760068,0.9775406107639515,179.64649960194657,133.51362417622977,76.25940504252972,283.03359416136345,0.9874828833423954,0.19392600164550167,0.8461765323346508,1.146962066386227
architecture,late_heavy,HHH,enc3,hebbian_effective,-0.0001456631479174652,0.0009587862411390837,-0.0008997294606373727,0.00054738771543189,0.0926385169979708,0.1329302589334279,0.006413966855447588,0.21286862815238208,-0.10071287572060492,0.33210408981300127,-0.4036262598714238,0.08681081259833122,0.9999996216694322,5.216586896713671e-07,0.9999991568608513,0.9999999281486831,0.13572198766813443,0.14937991417689794,0.0360735060712533,0.2693708619227822,1.231422369511435,0.47413703588547806,0.8271063141004188,1.5806934308503064
