sweep,case,method,layer,effective_rank_mean,effective_rank_sd,effective_rank_ci_low,effective_rank_ci_high,stable_rank_mean,stable_rank_sd,stable_rank_ci_low,stable_rank_ci_high,winner_coverage_ratio_mean,winner_coverage_ratio_sd,winner_coverage_ratio_ci_low,winner_coverage_ratio_ci_high,winner_entropy_mean,winner_entropy_sd,winner_entropy_ci_low,winner_entropy_ci_high,max_winner_share_mean,max_winner_share_sd,max_winner_share_ci_low,max_winner_share_ci_high,linear_probe_cv_accuracy_mean,linear_probe_cv_accuracy_sd,linear_probe_cv_accuracy_ci_low,linear_probe_cv_accuracy_ci_high,knn_cv_accuracy_mean,knn_cv_accuracy_sd,knn_cv_accuracy_ci_low,knn_cv_accuracy_ci_high,between_within_scatter_ratio_mean,between_within_scatter_ratio_sd,between_within_scatter_ratio_ci_low,between_within_scatter_ratio_ci_high,silhouette_score_mean,silhouette_score_sd,silhouette_score_ci_low,silhouette_score_ci_high
dimension,L128,BBB,h2,3.945244656664406,0.28039354267159433,3.707837405434198,4.154609827318607,2.1165054810017674,0.09836917503692945,2.0322456170392074,2.1925625186362803,1.0,0.0,1.0,1.0,0.9491215635594055,0.003907220023286714,0.9457967027870453,0.9516222498238456,0.0689731934077857,0.015693897244455392,0.0606599696952691,0.08313130179396525,0.9099,0.003324154027718885,0.9073,0.9123999999999999,0.865,0.0030822070014844593,0.8625,0.8673,0.11581337289167468,0.00115704787484903,0.1147973877853018,0.11659629841917858,-0.022325497081734036,0.0028624373753776697,-0.024462275965206358,-0.019862749364140852
dimension,L128,BBB,z,28.36242563335612,0.9221054989653168,27.87690883395112,29.190946593573376,8.706292201127216,0.3689991007575222,8.421856101429265,8.994579290562429,0.8328125,0.07505694452797156,0.778125,0.896875,0.8975761510054301,0.019034569297590297,0.8852014862682438,0.9147551964566958,0.03659230769230769,0.004027053484039367,0.033407692307692305,0.03977692307692308,0.8592000000000001,0.00687022561492709,0.8547,0.865,0.9107999999999998,0.0030124740662784495,0.9081999999999999,0.9128000000000001,0.11003959267758319,0.0008467403650095233,0.10939603881006472,0.11067258499887303,-0.026499329300135255,0.002049685576972983,-0.028253386106282634,-0.02505848135852353
dimension,L128,HBB,h1,1.3607151779211093,0.07823864714954397,1.2973106459262425,1.4288124860479061,1.1726882926573663,0.03665326554405735,1.1430711898882684,1.204057809840562,0.9,0.08385254915624211,0.8375,0.9625,0.6196834921396143,0.05537378204568638,0.5763968091403979,0.6609971687284395,0.34213377109503873,0.03068808700711506,0.3191703146808781,0.3670322611343738,0.8919,0.0048140419607643,0.8880000000000001,0.8955,0.807,0.01871830654733485,0.7908999999999999,0.8216999999999999,0.1087670037049759,0.000397968914364042,0.10847559962790965,0.10909368373099129,-0.032309748389203544,0.0034181672348201223,-0.03499804688534704,-0.029504588690409783
dimension,L128,HBB,h2,4.002512143864978,0.34872717886551935,3.7336418800824207,4.271382407647536,2.1436269909145125,0.12606540502592004,2.045458594180114,2.2417953876489114,1.0,0.0,1.0,1.0,0.9531044116639423,0.01588488920163,0.9389026540566572,0.9608750790256579,0.07404736517200741,0.0034364012945142875,0.07106552930392653,0.07637072787474045,0.9055,0.0037914377220258006,0.9026,0.9084000000000001,0.867,0.004031128874149269,0.8638999999999999,0.8701000000000001,0.11443797578162992,0.0009763635696199148,0.11366165106654673,0.11522906896396605,-0.025074325419273336,0.002731844407690205,-0.02732384562688823,-0.02292937663839806
dimension,L128,HBB,z,26.238961847326415,1.3424586592751178,25.43057345909844,27.447086907601868,8.113554000231499,0.490622544519104,7.7292044759990945,8.497903524463904,0.81875,0.09033493449726412,0.7546875,0.896875,0.8926646630423857,0.021528781514419143,0.8780739806719126,0.911611024089504,0.03906153846153847,0.002181077850906743,0.03727692307692308,0.04068461538461539,0.8571,0.0058566201857385355,0.8531000000000001,0.8621000000000001,0.9108,0.0033466401061363017,0.9079,0.9131,0.10955182234533445,0.000798800586749379,0.10896272235491249,0.1102332842375564,-0.030418571304206533,0.0027732737111442803,-0.03223342456776902,-0.028114987785838298
dimension,L128,HHB,h1,1.3607151779211093,0.07823864714954397,1.2973106459262425,1.4288124860479061,1.1726882926573663,0.03665326554405735,1.1430711898882684,1.204057809840562,0.9,0.08385254915624211,0.8375,0.9625,0.6196834921396143,0.05537378204568638,0.5763968091403979,0.6609971687284395,0.34213377109503873,0.03068808700711506,0.3191703146808781,0.3670322611343738,0.8919,0.0048140419607643,0.8880000000000001,0.8955,0.807,0.01871830654733485,0.7908999999999999,0.8216999999999999,0.1087670037049759,0.000397968914364042,0.10847559962790965,0.10909368373099129,-0.032309748389203544,0.0034181672348201223,-0.03499804688534704,-0.029504588690409783
dimension,L128,HHB,h2,1.0451430234971932,0.0138557330830716,1.0335829890608408,1.0554560694552408,1.0223699472966077,0.006825071899814361,1.016675262590074,1.0274487100130947,0.34375,0.10597390598633231,0.2625,0.425,0.4228846285137669,0.01791198721498513,0.4136847631673467,0.4390431416261265,0.24969882335334942,0.0005558102859809946,0.24920309781693697,0.2499794227135829,0.9000999999999999,0.0035777087639997616,0.8974,0.9027000000000001,0.8524,0.010175952043912227,0.8445,0.8603,0.11064869100343344,0.0007184791506967596,0.11007345012276826,0.11117898582662052,-0.040718942986231764,0.002727819058362624,-0.042118241588326645,-0.03824290923062733
dimension,L128,HHB,z,15.614826625831938,0.29801844329449145,15.3763300807336,15.840978027401462,5.145133005785834,0.10565933527402596,5.0617782934143385,5.22303419304875,0.7265625,0.03787249888606507,0.6984375,0.7546875,0.8442692073718374,0.014010105797392777,0.8333766404682587,0.8551617742754163,0.040030769230769224,0.003731899115184809,0.03728461538461538,0.04319230769230769,0.8783999999999998,0.0015572411502396844,0.8774000000000001,0.8798,0.9088999999999998,0.004801041553663179,0.9049999999999999,0.9124000000000001,0.11089233152187339,0.0006385499830265634,0.11040975969818592,0.11136964365872089,-0.034594914217828586,0.0014611120981055654,-0.035895760282243186,-0.03361574808629694
dimension,L128,HHH,h1,1.3607151779211093,0.07823864714954397,1.2973106459262425,1.4288124860479061,1.1726882926573663,0.03665326554405735,1.1430711898882684,1.204057809840562,0.9,0.08385254915624211,0.8375,0.9625,0.6196834921396143,0.05537378204568638,0.5763968091403979,0.6609971687284395,0.34213377109503873,0.03068808700711506,0.3191703146808781,0.3670322611343738,0.8919,0.0048140419607643,0.8880000000000001,0.8955,0.807,0.01871830654733485,0.7908999999999999,0.8216999999999999,0.1087670037049759,0.000397968914364042,0.10847559962790965,0.10909368373099129,-0.032309748389203544,0.0034181672348201223,-0.03499804688534704,-0.029504588690409783
dimension,L128,HHH,h2,1.0451430234971932,0.0138557330830716,1.0335829890608408,1.0554560694552408,1.0223699472966077,0.006825071899814361,1.016675262590074,1.0274487100130947,0.34375,0.10597390598633231,0.2625,0.425,0.4228846285137669,0.01791198721498513,0.4136847631673467,0.4390431416261265,0.24969882335334942,0.0005558102859809946,0.24920309781693697,0.2499794227135829,0.9000999999999999,0.0035777087639997616,0.8974,0.9027000000000001,0.8524,0.010175952043912227,0.8445,0.8603,0.11064869100343344,0.0007184791506967596,0.11007345012276826,0.11117898582662052,-0.040718942986231764,0.002727819058362624,-0.042118241588326645,-0.03824290923062733
