seed,method_id,method,noise_type,severity,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,representation_cosine,prediction_js_divergence,num_samples,num_pixels,sample_ids_sha256,accuracy_absolute_degradation,accuracy_relative_degradation,macro_f1_absolute_degradation,system_reconstruction_mse_increase,standardized_reconstruction_mse_increase,source_condition
2,full_hebbian,HHH,gaussian,0.2,0.7087,0.6808057168904443,1.034333348274231,0.03582480884863406,0.03522303931956389,0.9999206066131592,0.1178453341126442,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.17769999999999997,0.2004738267148014,0.20414397097663395,0.015574592317853655,0.014836269437050336,gaussian
2,full_hebbian,HHH,gaussian,0.3,0.6201,0.5904236288494793,1.6712793111801147,0.05319374013628279,0.05232788582626654,0.9998511672019958,0.17643241584300995,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.2663,0.3004287003610108,0.294526059017599,0.03294352360550239,0.031941115943752985,gaussian
2,full_hebbian,HHH,gaussian,0.4,0.5236,0.4848922470431374,2.415823459625244,0.07318060366572166,0.0727028533701994,0.9997760057449341,0.2399684339761734,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3628,0.40929602888086647,0.4000574408239409,0.05293038713494125,0.05231608348768585,gaussian
2,hybrid_hhb,HHB,gaussian,0.1,0.8645,0.8665535346498066,0.4549771547317505,0.008042554962391755,0.007665381967778108,0.9888485074043274,0.04179774597287178,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05509999999999993,0.05991735537190075,0.051799293665649504,0.0036984210087328533,0.0034164056087026785,gaussian
2,hybrid_hhb,HHB,gaussian,0.2,0.7654,0.7670911908774658,0.7535927891731262,0.018079806327819824,0.01749037969939563,0.9653932452201843,0.10061676055192947,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.1542,0.16768160069595478,0.15126163743799026,0.013735672374160922,0.013241403340320198,gaussian
2,hybrid_hhb,HHB,gaussian,0.3,0.6499,0.6415146708704391,1.149497151374817,0.03417779248685253,0.03319755440147556,0.9382153153419495,0.1701112538576126,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.26969999999999994,0.2932796868203566,0.27683815744501694,0.029833658533193627,0.028948578042400128,gaussian
2,hybrid_hhb,HHB,gaussian,0.4,0.5318,0.4884244281374085,1.7185600996017456,0.054048222101951135,0.053026651654924664,0.9121642708778381,0.24549303948879242,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.3877999999999999,0.4217050891692039,0.42992840017804757,0.04970408814829223,0.048777675295849234,gaussian
2,hybrid_hbb,HBB,gaussian,0.1,0.9002,0.8991316867094982,0.32818448543548584,0.005050836312040991,0.004952487164127583,0.9926608204841614,0.012344853021204472,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.01419999999999999,0.015529308836395441,0.014169437289612397,0.0022460412643393692,0.0022121256205500386,gaussian
2,hybrid_hbb,HBB,gaussian,0.2,0.8592,0.8583222388118428,0.4302574694156647,0.011379151496108698,0.011161506054352741,0.9741056561470032,0.04153396934270859,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.05520000000000003,0.0603674540682415,0.05497888518726779,0.008574356448407077,0.008421144510775197,gaussian
2,hybrid_hbb,HBB,gaussian,0.3,0.7969,0.7970177311855593,0.600922167301178,0.021072925653263016,0.02062120501849116,0.950975775718689,0.08347082883119583,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.11749999999999994,0.1284995625546806,0.11628339281355127,0.018268130605561393,0.017880843474913616,gaussian
2,hybrid_hbb,HBB,gaussian,0.4,0.685,0.6895234018356037,0.9045093655586243,0.033020889644233546,0.032454866747953455,0.9275030493736267,0.14742031693458557,10000,7840000,4d596e7c4c4f2c1453e2cbc8dfc7889f58e71eb41800f7cc79393e316304fc2b,0.22939999999999994,0.2508748906386701,0.2237777221635069,0.030216094596531923,0.02971450520437591,gaussian
