sweep,case,seed,method_id,method,accuracy,macro_f1,classification_ce,system_reconstruction_mse,standardized_reconstruction_mse,system_training_samples_seen,system_training_wall_time_sec,standardized_decoder_samples_seen,standardized_decoder_wall_time_sec,total_training_samples_seen,total_training_wall_time_sec
architecture,balanced,2,full_bp,BBB,0.9187,0.917345793795656,0.2792670428752899,0.0028364413565518903,0.002744810096828305,500000,359.6806402000366,500000,300.27980629995,1000000,659.9604464999866
architecture,balanced,2,full_hebbian,HHH,0.8864,0.8849496878670783,0.37001922726631165,0.020250216530780404,0.02038676988251355,2000000,845.2702027000487,500000,280.58288899995387,2500000,1125.8530917000026
architecture,balanced,2,hybrid_hhb,HHB,0.9196,0.9183528283154561,0.2728135883808136,0.004344133953658902,0.00424897635907543,1500000,637.3715765000088,500000,266.7934047000017,2000000,904.1649812000105
architecture,balanced,2,hybrid_hbb,HBB,0.9144,0.9133011239991106,0.2930019795894623,0.0028047950477016214,0.0027403615435775447,1000000,464.4755745000439,500000,246.0006700999802,1500000,710.4762446000241
architecture,balanced,3,full_bp,BBB,0.9121,0.9108027183656539,0.2828608751296997,0.0028725919217479474,0.0029440364625989176,500000,211.9927947999995,500000,168.86990969999988,1000000,380.8627044999994
architecture,balanced,3,full_hebbian,HHH,0.889,0.8875681968449637,0.36875084042549133,0.019642290076430962,0.01962399306394616,2000000,432.4901485999999,500000,163.44890329999998,2500000,595.9390518999999
architecture,balanced,3,hybrid_hhb,HHB,0.924,0.9229492486751099,0.27071261405944824,0.00441723254116214,0.0042791522960273585,1500000,358.6988916999999,500000,176.4912961,2000000,535.1901877999999
architecture,balanced,3,hybrid_hbb,HBB,0.9179,0.9164990842714044,0.27352264523506165,0.0029624178869383675,0.002943639189856393,1000000,270.4096316999994,500000,190.5433307000003,1500000,460.9529623999997
architecture,balanced,4,full_bp,BBB,0.9165,0.9149455936223658,0.27888384461402893,0.0040316192690207035,0.004108846951504143,500000,237.53089509999973,500000,197.84283120000055,1000000,435.37372630000027
architecture,balanced,4,full_hebbian,HHH,0.8907,0.8893695955555307,0.3712993562221527,0.01741169210745364,0.018054033372840103,2000000,576.1385577000001,500000,200.71323080000002,2500000,776.8517885000001
architecture,balanced,4,hybrid_hhb,HHB,0.9207,0.9193818008888368,0.28007078170776367,0.004961195008608759,0.005053823266710554,1500000,552.8449380000002,500000,288.5430658000005,2000000,841.3880038000007
architecture,balanced,4,hybrid_hbb,HBB,0.9178,0.9164806467491966,0.27862468361854553,0.004124570015985139,0.0043051388516718025,1000000,437.9455216999995,500000,228.39706730000034,1500000,666.3425889999999
dimension,L16,0,full_bp,BBB,0.9252,0.9243440818509929,0.24749340116977692,0.011602573781110802,0.011583836436758236,500000,196.0677336000008,500000,166.33473250000316,1000000,362.40246610000395
