seed,method_id,method,layer,rule,snapshot,alignment,norm_ratio,alpha_star,scale_matched_bias,update_snr_linear,update_snr_db,matched_bp_snr_linear,mean_update_norm
1,full_bp,BBB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,5.482630913792094,7.389890105198687,5.482630913792094,0.003443035497330129
1,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,7.578053957470441,8.795576932256257,7.578053957470441,0.015993757024407387
1,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,1.8111148416519587,2.57945989526886,1.8111148416519587,0.0015396216954104603
1,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,3.7015249767103704,5.683806842088037,3.7015249767103704,0.0026608412247151134
2,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.22936877903044836,96.36596885171723,0.0023801844357914746,0.9733395925794553,425.01599365390695,26.28405273167829,0.5539105721456228,
2,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
2,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.22936877903044836,96.36596885171723,0.0023801844357914746,0.9733395925794553,425.01599365390695,26.28405273167829,0.5539105721456228,
2,hybrid_hhb,HHB,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
2,hybrid_hbb,HBB,enc1,hebbian_raw,enc1_end,0.22936877903044836,96.36596885171723,0.0023801844357914746,0.9733395925794553,425.01599365390695,26.28405273167829,0.5539105721456228,
2,hybrid_hbb,HBB,enc1,hebbian_effective,enc1_end,0.22939679408625802,0.04818335830879961,4.7607109804955465,0.9733328741375352,416.86556337247293,26.199960202041947,0.5539105721456228,
2,full_hebbian,HHH,enc2,hebbian_raw,enc2_end,0.012317054516570365,2.8562249249772744,0.004312354555533,0.999924142069679,0.01381880734378337,-18.595294378854774,1.3002670011313386,
2,full_hebbian,HHH,enc2,hebbian_effective,enc2_end,0.009900409640685672,0.0014283477501133705,6.869039726489419,0.9999509923099723,0.013821606417463451,-18.59441478112635,1.3002670011313386,
2,hybrid_hhb,HHB,enc2,hebbian_raw,enc2_end,0.012317054516570365,2.8562249249772744,0.004312354555533,0.999924142069679,0.01381880734378337,-18.595294378854774,1.3002670011313386,
2,hybrid_hhb,HHB,enc2,hebbian_effective,enc2_end,0.009900409640685672,0.0014283477501133705,6.869039726489419,0.9999509923099723,0.013821606417463451,-18.59441478112635,1.3002670011313386,
2,full_hebbian,HHH,enc3,hebbian_raw,enc3_end,0.0008418891463954116,867.0194357704502,9.71015310220241e-07,0.9999996456067443,1.3744181325797098,1.3811887613455074,4.124598140609279,
2,full_hebbian,HHH,enc3,hebbian_effective,enc3_end,0.00039580959605551105,0.43319654859552803,0.0009136951744248501,0.9999999216628532,1.3758763126575315,1.3857939382337832,4.124598140609279,
2,full_bp,BBB,enc1,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,35.94485132003092,15.556366915635316,35.94485132003092,0.002454796484671533
2,full_bp,BBB,enc2,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,12.570205303440282,10.99342370877931,12.570205303440282,0.0026170816924422978
2,full_bp,BBB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,6.055304816082957,7.821360098425478,6.055304816082957,0.0034347920631989837
2,hybrid_hhb,HHB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,10.203338431911106,10.087422918933832,10.203338431911106,0.016576680187135935
2,hybrid_hbb,HBB,enc2,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,16.15858197845042,12.084032459215274,16.15858197845042,0.003902494846843183
2,hybrid_hbb,HBB,enc3,bp_raw,final_validation_selected,1.0,1.0,1.0,0.0,8.373685372596698,9.22916638963606,8.373685372596698,0.0037941018305718897
3,full_hebbian,HHH,enc1,hebbian_raw,enc1_end,0.5748699537341684,117.66612212316076,0.004885602954879869,0.8182447894842858,495.24554136644895,26.948205743293844,1.012538652497342,
3,full_hebbian,HHH,enc1,hebbian_effective,enc1_end,0.5747478141972073,0.05883234824995572,9.769053119144731,0.8183300831757615,489.988543070083,26.901859254578753,1.012538652497342,
3,hybrid_hhb,HHB,enc1,hebbian_raw,enc1_end,0.5748699537341684,117.66612212316076,0.004885602954879869,0.8182447894842858,495.24554136644895,26.948205743293844,1.012538652497342,
